Project Name,Sector,Donor,Date of Agreement,Completion Date,Commitments (USD),Disbursements (USD)
Trail Bridge Sub Sector Program- Phase IV,LOCAL DEVELOPMENT,Swiss Agency for Development and Cooperation,41664,43489,12368484,11159671
River Protection Works and Livelihood Improvement Project in Chitwan- Phase II,LIVELIHOOD,Swiss Agency for Development and Cooperation,41664,43130,6011233,3704526
Small Irrigation Programme (SIP),LOCAL DEVELOPMENT,Swiss Agency for Development and Cooperation,42014,43493,18811584,18233280
Integrated Programme for Strengthening Security and Justice (IP-SSJ),Women  CHILDREN & SOCIAL WELFARE,Department for International Development,41670,43861,8594677,38640729
Integrated Programme for Strengthening Security and Justice (IP-SSJ),HOME AFFAIRS,Department for International Development,41670,43861,53434248,5253538
National Police Academy at Panauti, Kavrepalanchowk,DEFENCE,41968,43793,220362810,0
Emergency Housing Reconstruction Project,LOCAL DEVELOPMENT,International Development Association,42230,44043,220362810,20000000
Partnership for Improved Nutrition Poshanka Lagi Hatemalo in Nepal,LOCAL DEVELOPMENT,United Nations Children's Fund, -, -,36899482,30456048
Decentralized Rural Infrastructure and Livelihood Project (DRILP) Phase III,LOCAL DEVELOPMENT,Swiss Agency for Development and Cooperation, -,43496,5727356,5561619
Water Supply and Sanitation programme,DRINKING WATER,International Development Association,41486,41639,30474079,0
MCC Compact Program,ENERGY,Millennium Challenge Corporation,42571, -,10750000,0
Integrated Rural Development Project,FOREST,Love Green Japan,41053,42856,0,66867
Integrated Rural Development Project,RENEWABLE ENERGY,Love Green Japan,41053,42856,576000,428152
SASEC Information Highway Project - Nepal Component,COMMUNICATIONS,Asian Development Bank,39853,40178,9000000,4127450
Air Transport Capacity Enhancement Project,AIR TRANSPORTATION,Asian Development Bank,40323,42004,75127061,37080503
Emergency Flood Damage Rehabilitation Project,ROAD TRANSPORTATION,Asian Development Bank,40028,41274,25600000,23158888
Building Strong Families and Sustainable Futures II,EDUCATION,Forget Me Not Australia,41264,44926,3382479,842115
Sustainable Soil Management Program(SSMP)  IV,AGRICULTURE,40574,42004,7235142,7500820, -
Avian Influenza Control Project (Human Health Component),HEALTH,International Development Association,39150,40755,7482747,7959164
Raising Incomes of Small and Medium Farmers Project (RISMFP) - Crops Diversification,AGRICULTURE,Asian Development Bank,40618,43100,20100000,19762076
Project for the development of Community Based Health Insurance (CBHI) in Nepal,HEALTH,Korea International Cooperation Agency,40486,41090,1029083,1015413
South Asia Tourism Infrastructure Development Project,TOURISM,Asian Development Bank,40323,42262,73500000,30254542
Road Connectivity Sector I Project,ROAD TRANSPORTATION,OPEC Fund for Inernational Development,38971,41455,65000000,58576855
Rahughat Hydropower Project,ELECTRICITY,India Exim Bank,39339,42521,98000000,6773934
Sector Program Health and Family Planning,HEALTH,German Development Cooperation (KfW),39456,40574,15760441,12217763
Expansion of Malaria prevention and control to at-risk populations in Nepal 2010-2016,HEALTH,Global Fund to Fight AIDS  Tuberculosis and Malaria,40456,42323,13305343,10588713
Project for Construction of Primary School,EDUCATION,Japan,38506,39202,5348037,4692279
Improving Livelihood for Poor Farmers and Disadvantaged Groups in the Eastern Development Region (JFPR Project No. 9101-NEP),SOCIAL PROTECTION,Japan Fund for Poverty Reduction,39136,40374,1000000,782632
Local Peace Committee,PEACE AND RECONSTRUCTION,Asian Development Bank,39797,41274,4500000,0
Energy Sector Assistance Programme Phase II (ESAP II),ALTERNATE ENERGY,German Development Cooperation (KfW),39156,40982,67323156,61877760
Sub Regional Transport Enhancement Project,ROAD TRANSPORTATION,Asian Development Bank,40606,42004,24500000,13519174
Sub Regional Transport Enhancement Project,ECONOMIC AFFAIRS,Asian Development Bank,40606,42004,24500000,18708675
Kathmandu Sustainable Urban Transport Project,ROAD TRANSPORTATION,Global Environment Facility,40477,42004,22520000,8851401
Transport Project Preparatory Facility Nepal,ROAD TRANSPORTATION,Asian Development Bank,40606,42369,12000000,10365200
Norwegian Association of the Blind and Partially Sighted (NABP) Nepal,OTHERS - SOCIAL,Norwegian Association of the Blind and Partially Sighted Nepal,41648,43130,1750000,2022544
Community Action Nepal,HEALTH,Community Action Nepal,41660,43485,2807017,2816713
South Asia Sub Regional Economic Cooperation Power System Expansion Project (SASEC),ENERGY,Asian Development Bank,41831,44742,1500000000,109209480
Kabeli-A Hydroelectric Project,ENERGY,International Development Association,41967,43829,46000000,10692103
Education Focused Program for the Needy Community in Surkhet District, Mid West Nepal,EDUCATION,42265,44091,1411177,1262295
Blindness Alleviation Project in Nepal,HEALTH,Fred Hollows Foundation,42753,43465,369614,386326
Reconstruction and Rebuilding of Lives in Sindhupalchowk and Dhading Districts,AGRICULTURE,Terre das hommes, -,42735,243238,0
Promotion of Rights of Children,HEALTH,Terre das hommes,42370,43465,393144,89703
IKU-CDS –Preserving biodiversity through ecosystem restoration and revitalization,YOUTH  SPORTS & CULTURE,Terre das hommes,43466,44561,1001616,146236
Improving livelihood,ENVIRONMENTAL PROTECTION,Terre das hommes,42307,42307,852775,143179
Himalayan Children Welfare Project (Education, Health and training for all and support infrastructural development activities in Nepal),Women  CHILDREN & SOCIAL WELFARE,38134, -,3611786,2442381
Community Development Project(TEVEL) - CDP,Women  CHILDREN & SOCIAL WELFARE,TEVEL Nepal,42356,43452,1267945,1227964
RISE (Rebuild, Integrate,International Medical Corps,42391,42756,1983598,1492750
Strengthening the Continuum of Care through Quality Sexual and Reproductive Health Programming,HEALTH,International Medical Corps,42391,42756,552728,515978
Prevention,Women  CHILDREN & SOCIAL WELFARE,Child Protection Centers and Services International,42262,44196,11100444,0
Chaurjahari Hospital Rukum,HEALTH,Human Development & Community Services Nepal,42009,45661,762360,702692
Inspiring Youth through Active Citizenship (INSAC),ENVIRONMENT SCIENCE & TECHNOLOGY,42414,43738,2700390,1114214, -
Nepal Rural Healthcare and District Hospital Support Project,HEALTH,Nick Simons Foundation International,42394,44220,14805951,12659620
Road Safety Support Project,ROAD TRANSPORTATION,World Bank Trust Funds,42164,42566,7470000,5386810
Nagdhunga Tunnel Construction Project,ROAD TRANSPORTATION,Japan International Cooperation Agency,42391,44592,141741277,15730869
Strengthening of Road Infrastructure in the Terai area of Nepal,ROAD TRANSPORTATION,India,42420, -,73027385,0
Evidence for Development (E4D),GENERAL PUBLIC SERVICE,Department for International Development,42611,44255,18688211,10083427
Nepal - EU Action for Recovery and Reconstruction -NEARR- (State Building Contract) - CTR 383496,HOUSING AND COMMUNITY AMENITIES,European Union, -, -,115591671,104976737
Nepal Health Sector Management Reform Program for Result,HEALTH,International Development Association,42796,44392,150000000,45954848
Lymphatic Filariasis(LF) Programme Morbidity and Disability Prevention (MMDP) HEALTH,Department for International Development,42324,43008,368508,0, -
Nepal Bridges Improvement and Maintenance Programme,ROAD TRANSPORTATION,International Development Association,41103,42931,60000000,55086175
Road Improvement Project II &III,ECONOMIC AFFAIRS,India Exim Bank,40837, -,63050000,15256106
Road Improvement Project II &III,ROAD TRANSPORTATION,India Exim Bank,40837, -,330000000,0
United Kingdom Multilateral Debt Relief Initiative,EXTERNAL LOAN PAYMENT,Department for International Development,38405, -,0,16591535
Goitre and other Iodine Deficiency Disorders Control Programme,HEALTH,India,41854,42218,709950,482402
Improvement of Kathmandu Ring Road in Nepal,ROAD TRANSPORTATION,China,40602,42486,25087646,33154069
Technical Assistance for financing the Preparation of a Feasibility Study and Preliminary Engineering Designs for the Sitapaila-Dharke Road Project,ROAD TRANSPORTATION,Kuwait fund for Arab Economic development,40655,41639,732600,197211
Rapid Credit Facility for Nepal,HOUSING,International Monetary Fund,42216, -,49700000,0
Assistance Package for Post Earthquake Reconstruction in Nepal,OTHERS - SOCIAL,India,42389,43861,250000000,0
FC Recovery Program- Infrastructure Component: Bhaktapur Municipality,PEACE AND RECONSTRUCTION,German Development Cooperation (KfW),42366,43829,10947000,0
Post Earthquake Reconstruction Programme in Nepal - Building Back Better,EARTHQUAKE RECONSTRUCTION,Department for International Development,42827,44651,108949367,59081032
Post- Disaster Health Service recovery Program in Nuwakot District,EARTHQUAKE RECONSTRUCTION,Korea International Cooperation Agency,42627,43738,8400000,9436945
Utilization of the Grant Component of India's Assistance Package for Post-Earthquake Reconstruction in Nepal,EARTHQUAKE RECONSTRUCTION,India,42389, -,250000000,3304119
The Emergency Top-Up Cash Transfer Project,SOCIAL PROTECTION,United Nations Children's Fund,42186,42368,25000000,25000000
PPCR - Building Resilience to Climate Related Hazards Project,ENVIRONMENTAL PROTECTION,World Bank Trust Funds,41394,43311,31000000,23670099
Support for stability and peace building,PEACE AND RECONSTRUCTION,European Union,40732,42558,31586504,18446028
Strengthening Disaster Resilience and responding to humanitarian emergencies in Nepal (Project No. 300003),HOME AFFAIRS,Department for International Development,42879,45016,56288733,13789782
Earthquake Emergency Assistance Project - Additional Financing,EDUCATION,Asian Development Bank,42998,43373,10000000,0
Nepal Earthquake Housing Reconstruction Project- Additional Financing,PEACE AND RECONSTRUCTION,International Development Association,43000,44043,310000000,149443219
FC Recovery Programme - Health Sector,HEALTH,German Development Cooperation (KfW),42024,43496,10687000,3414016
Emergency School Reconstruction Project (ESRP),EDUCATION,Japan International Cooperation Agency,42025,43860,115300000,69736640
Emergency Housing Reconstruction Project of JICA(EHRP),URBAN DEVELOPMENT,Japan International Cooperation Agency,42025,43861,98830000,101544437
The Project on Rehabilitation and Recovery from Nepal Earthquake (Infrastructures Grant),EARTHQUAKE RECONSTRUCTION,Japan International Cooperation Agency,42384,43312,33028355,34462254
Earthquake Housing Reconstruction Project - IDA,HOUSING,International Development Association,42230,44043,200000000,269147404
Implementation of Power Sector Reform and Sustainable Hydro power Development Project,ENERGY,World Bank Trust Funds,42404, -,20500000,0
Post-Disaster Reconstruction Aid Project Plan,EARTHQUAKE RECONSTRUCTION,China,42208,43465,483137602,12663652
Building Resilience of Communities through Inclusive and Risk-aware Reconstruction and Development in Post-Earthquake.,EDUCATION,Arbeiter Samariter Bund,42277,44103,1213659,108172
Health Services Improvement in Tikapur,HEALTH,Korea International Cooperation Agency,40886,42164,5500000,5332574
Earthquake Recovery Program Nepal,MISCELLANEOUS,Christian Aid Nepal,42271,43404,2730835,2694029
Strengthening Community Resilience Through Diversification of Livelihood and Promoting Disaster Preparedness,Women  CHILDREN & SOCIAL WELFARE,Christian Aid Nepal,43466,44226,2305350,687137
Enhanced Livelihood through Vocational Training,EDUCATION,Finn Church Aid Foundation,42455,43610,864365,613182
Promoting community resilience through Education in Emergencies and Livelihoods,EARTHQUAKE RECONSTRUCTION,Finn Church Aid Foundation,42491,43830,3682753,5147999
Nepal Shelter Recovery and Reconstruction Response,EARTHQUAKE RECONSTRUCTION,MEDAIR,42608,43702,5612385,1616093
Rehabilitation of Earthquake Affected Schools in Sindhupalchok EDUCATION,Caritas Switzerland,42430,43830,7624138,7595287, -
Temporary Learning Facilities & Distribution of Shelter Materials ( TLC),EDUCATION,Caritas Switzerland,42212,42308,633487,0
Rehabilitation of Earthquake Affected Schools in Sindhupalchok,EDUCATION,Caritas Switzerland,43508,43830,1737998,753056
Post-Earthquake Health Sector Recovery and Reconstruction Support,HEALTH,Ameri Cares Foundation,42549,43096,744680,617609
Health Facilities Reconstruction and Health Service Strengthening,HEALTH,Ameri Cares Foundation,42576,43124,551778,450885
Health Facilities Reconstruction and Health Service Strengthening in Makwanpur District,HEALTH,Ameri Cares Foundation,43440,44017,601704,0
South Asia Initiative to End Violence Against Children(SAIEVAC),OTHERS - SOCIAL,South Asian Association For Regional Cooperation,41001,42004,0,45684
Nepal Peace Support Programme  phase III,PEACE AND RECONSTRUCTION,Denmark,40687,41417,7596042,6373022
Master Plan for the Lumbini World Peace City Preservation and Development,CULTURE AND RELIGION,Korea International Cooperation Agency,40928,41475,2000000,2222917
Samriddha Pahad-II,LIVELIHOOD,Samriddha Pahad UK,42261,42991,203329,121814
G0345 Skills Development Project,EDUCATION,Asian Development Bank, -, -,0,18177633
TA 7923,ENERGY,Asian Development Bank,40898,42369,0,207596
TA-8412 SASEC Power Systems,ELECTRICITY,Asian Development Bank,41508,42735,0,701357
TA- 8442 Supporting Participation in the SASEC Facilitation Program,COMMERCE,Asian Development Bank,41554,42978,0,1313650
TA-9159 Supporting for Targeted & Sustainable Development for Highly Marginalized Groups,LIVELIHOOD,Asian Development Bank,40702,42400,0,270000
TA- 8329 Support for Sustainable Energy Management and Reforms,ELECTRICITY,Asian Development Bank,41355,42521,0,981539
TA- 8261 Support for Formulating an Economic Development Vision,ENERGY,Asian Development Bank,41283,42582,0,459722
